=================================================
Project : math_36	start : 17/08/24 06:43
Current failed test : org.apache.commons.math.fraction.BigFractionTest::testFloatValueForLargeNumeratorAndDenominator | 17/08/24 06:44
Thu Aug 24 06:45:34 AEST 2017 org.apache.commons.math.fraction.BigFraction,732
Thu Aug 24 09:37:33 AEST 2017 org.apache.commons.math.util.MathUtils,68
Thu Aug 24 09:38:16 AEST 2017 org.apache.commons.math.util.MathUtils,91
Thu Aug 24 09:38:54 AEST 2017 org.apache.commons.math.util.MathUtils,113
Thu Aug 24 09:44:00 AEST 2017 org.apache.commons.math.util.MathUtils,114
Thu Aug 24 09:44:02 AEST 2017 org.apache.commons.math.util.MathUtils,128
Thu Aug 24 09:48:46 AEST 2017 org.apache.commons.math.util.MathUtils,130
Thu Aug 24 09:48:48 AEST 2017 org.apache.commons.math.util.MathUtils,131
Thu Aug 24 09:48:49 AEST 2017 org.apache.commons.math.util.MathUtils,133
Thu Aug 24 09:48:50 AEST 2017 org.apache.commons.math.util.MathUtils,135
Thu Aug 24 09:48:52 AEST 2017 org.apache.commons.math.util.MathUtils,150
Thu Aug 24 09:49:00 AEST 2017 org.apache.commons.math.util.MathUtils,152
Thu Aug 24 09:49:01 AEST 2017 org.apache.commons.math.util.MathUtils,153
Thu Aug 24 09:49:02 AEST 2017 org.apache.commons.math.util.MathUtils,155
Thu Aug 24 09:49:03 AEST 2017 org.apache.commons.math.util.MathUtils,157
Thu Aug 24 09:49:04 AEST 2017 org.apache.commons.math.util.MathUtils,172
Thu Aug 24 09:49:28 AEST 2017 org.apache.commons.math.util.MathUtils,174
Thu Aug 24 09:49:29 AEST 2017 org.apache.commons.math.util.MathUtils,175
Thu Aug 24 09:49:30 AEST 2017 org.apache.commons.math.util.MathUtils,177
Thu Aug 24 09:49:32 AEST 2017 org.apache.commons.math.util.MathUtils,179
Thu Aug 24 09:49:33 AEST 2017 org.apache.commons.math.util.MathUtils,194
Thu Aug 24 09:50:06 AEST 2017 org.apache.commons.math.util.MathUtils,196
Thu Aug 24 09:50:08 AEST 2017 org.apache.commons.math.util.MathUtils,197
Thu Aug 24 09:50:08 AEST 2017 org.apache.commons.math.util.MathUtils,199
Thu Aug 24 09:50:09 AEST 2017 org.apache.commons.math.util.MathUtils,201
Thu Aug 24 09:50:11 AEST 2017 org.apache.commons.math.util.MathUtils,212
Thu Aug 24 09:53:40 AEST 2017 org.apache.commons.math.util.MathUtils,213
Thu Aug 24 09:53:41 AEST 2017 Thu Aug 24 09:53:41 AEST 2017 : org.apache.commons.math.util.MathUtils,215=>Find no block
Thu Aug 24 09:53:42 AEST 2017 org.apache.commons.math.util.MathUtils,225
Thu Aug 24 10:06:57 AEST 2017 org.apache.commons.math.util.MathUtils,226
Thu Aug 24 10:06:59 AEST 2017 org.apache.commons.math.util.MathUtils,227
Thu Aug 24 10:07:00 AEST 2017 org.apache.commons.math.util.MathUtils,228
Thu Aug 24 10:07:01 AEST 2017 Thu Aug 24 10:07:01 AEST 2017 : org.apache.commons.math.util.MathUtils,231=>Find no block
Thu Aug 24 10:07:02 AEST 2017 org.apache.commons.math.util.MathUtils,245
Thu Aug 24 10:07:03 AEST 2017 org.apache.commons.math.util.MathUtils,257
Thu Aug 24 10:07:10 AEST 2017 org.apache.commons.math.util.MathUtils,258
Thu Aug 24 10:07:11 AEST 2017 Thu Aug 24 10:07:11 AEST 2017 : org.apache.commons.math.util.MathUtils,260=>Find no block
Thu Aug 24 10:07:12 AEST 2017 org.apache.commons.math.fraction.FractionConversionException,42
Thu Aug 24 10:08:04 AEST 2017 Thu Aug 24 10:08:04 AEST 2017 : org.apache.commons.math.fraction.FractionConversionException,43=>Find no block
Thu Aug 24 10:08:06 AEST 2017 org.apache.commons.math.fraction.FractionConversionException,53
Thu Aug 24 10:08:23 AEST 2017 Thu Aug 24 10:08:23 AEST 2017 : org.apache.commons.math.fraction.FractionConversionException,54=>Find no block
Thu Aug 24 10:08:24 AEST 2017 org.apache.commons.math.fraction.BigFraction,107
Thu Aug 24 10:08:28 AEST 2017 Thu Aug 24 10:08:28 AEST 2017 : org.apache.commons.math.fraction.BigFraction,108=>Find no block
Thu Aug 24 10:08:29 AEST 2017 org.apache.commons.math.fraction.BigFraction,123
Thu Aug 24 10:08:30 AEST 2017 org.apache.commons.math.fraction.BigFraction,126
Thu Aug 24 10:08:34 AEST 2017 org.apache.commons.math.fraction.BigFraction,127
Thu Aug 24 10:08:35 AEST 2017 org.apache.commons.math.fraction.BigFraction,133
Thu Aug 24 10:08:36 AEST 2017 org.apache.commons.math.fraction.BigFraction,134
Thu Aug 24 10:08:37 AEST 2017 org.apache.commons.math.fraction.BigFraction,139
Thu Aug 24 10:08:38 AEST 2017 org.apache.commons.math.fraction.BigFraction,140
Thu Aug 24 10:08:39 AEST 2017 Thu Aug 24 10:08:39 AEST 2017 : org.apache.commons.math.fraction.BigFraction,171=>Find no block
Thu Aug 24 10:08:40 AEST 2017 org.apache.commons.math.fraction.BigFraction,172
Thu Aug 24 10:10:45 AEST 2017 org.apache.commons.math.fraction.BigFraction,173
Thu Aug 24 10:10:47 AEST 2017 org.apache.commons.math.fraction.BigFraction,175
Thu Aug 24 10:12:30 AEST 2017 org.apache.commons.math.fraction.BigFraction,176
Thu Aug 24 10:12:30 AEST 2017 org.apache.commons.math.fraction.BigFraction,180
Thu Aug 24 10:15:01 AEST 2017 org.apache.commons.math.fraction.BigFraction,181
Thu Aug 24 10:18:34 AEST 2017 org.apache.commons.math.fraction.BigFraction,182
Thu Aug 24 10:20:13 AEST 2017 org.apache.commons.math.fraction.BigFraction,183
Thu Aug 24 10:21:34 AEST 2017 org.apache.commons.math.fraction.BigFraction,184
Thu Aug 24 10:22:23 AEST 2017 org.apache.commons.math.fraction.BigFraction,186
Thu Aug 24 10:22:24 AEST 2017 org.apache.commons.math.fraction.BigFraction,188
Thu Aug 24 10:23:31 AEST 2017 org.apache.commons.math.fraction.BigFraction,189
Thu Aug 24 10:23:32 AEST 2017 org.apache.commons.math.fraction.BigFraction,191
Thu Aug 24 10:32:46 AEST 2017 org.apache.commons.math.fraction.BigFraction,192
Thu Aug 24 10:32:47 AEST 2017 org.apache.commons.math.fraction.BigFraction,193
Thu Aug 24 10:32:48 AEST 2017 org.apache.commons.math.fraction.BigFraction,194
Thu Aug 24 10:32:49 AEST 2017 org.apache.commons.math.fraction.BigFraction,197
Thu Aug 24 10:35:59 AEST 2017 org.apache.commons.math.fraction.BigFraction,198
Thu Aug 24 10:36:01 AEST 2017 org.apache.commons.math.fraction.BigFraction,199
Thu Aug 24 10:36:01 AEST 2017 org.apache.commons.math.fraction.BigFraction,201
Thu Aug 24 10:36:02 AEST 2017 org.apache.commons.math.fraction.BigFraction,202
Thu Aug 24 10:36:03 AEST 2017 Thu Aug 24 10:36:03 AEST 2017 : org.apache.commons.math.fraction.BigFraction,205=>Find no block
Thu Aug 24 10:36:04 AEST 2017 org.apache.commons.math.fraction.BigFraction,231
Thu Aug 24 10:37:09 AEST 2017 Thu Aug 24 10:37:09 AEST 2017 : org.apache.commons.math.fraction.BigFraction,232=>Find no block
Thu Aug 24 10:37:10 AEST 2017 Thu Aug 24 10:37:10 AEST 2017 : org.apache.commons.math.fraction.BigFraction,270=>Find no block
Thu Aug 24 10:37:11 AEST 2017 org.apache.commons.math.fraction.BigFraction,271
Thu Aug 24 10:40:39 AEST 2017 org.apache.commons.math.fraction.BigFraction,272
Thu Aug 24 10:40:40 AEST 2017 org.apache.commons.math.fraction.BigFraction,273
Thu Aug 24 10:47:43 AEST 2017 org.apache.commons.math.fraction.BigFraction,274
Thu Aug 24 10:52:04 AEST 2017 org.apache.commons.math.fraction.BigFraction,275
Thu Aug 24 10:52:05 AEST 2017 org.apache.commons.math.fraction.BigFraction,280
Thu Aug 24 11:02:57 AEST 2017 org.apache.commons.math.fraction.BigFraction,281
Thu Aug 24 11:02:58 AEST 2017 org.apache.commons.math.fraction.BigFraction,282
Thu Aug 24 11:02:59 AEST 2017 org.apache.commons.math.fraction.BigFraction,283
Thu Aug 24 11:03:00 AEST 2017 org.apache.commons.math.fraction.BigFraction,286
Thu Aug 24 11:16:44 AEST 2017 org.apache.commons.math.fraction.BigFraction,287
Thu Aug 24 11:20:51 AEST 2017 org.apache.commons.math.fraction.BigFraction,288
Thu Aug 24 11:24:52 AEST 2017 org.apache.commons.math.fraction.BigFraction,289
Thu Aug 24 11:33:09 AEST 2017 org.apache.commons.math.fraction.BigFraction,291
Thu Aug 24 11:33:14 AEST 2017 org.apache.commons.math.fraction.BigFraction,292
Thu Aug 24 11:39:27 AEST 2017 org.apache.commons.math.fraction.BigFraction,294
Thu Aug 24 11:42:36 AEST 2017 org.apache.commons.math.fraction.BigFraction,295
Thu Aug 24 11:42:37 AEST 2017 org.apache.commons.math.fraction.BigFraction,297
Thu Aug 24 11:46:28 AEST 2017 org.apache.commons.math.fraction.BigFraction,298
Thu Aug 24 11:46:29 AEST 2017 org.apache.commons.math.fraction.BigFraction,299
Timeout time : 17/08/24 11:46
